x,y,,yfiltered,ycorrected
1,0.583607745,1,0.976522625,1.283094461
3.918367347,0.629062213,2,0.975079552,0.878347764
6.836734694,0.67162392,3,0.972221443,0.93345846
9.755102041,0.713470423,4,0.968009541,0.950138886
12.67346939,0.756779276,5,0.962531864,0.944309034
15.59183673,0.803728034,6,0.955900429,1.008813983
18.51020408,0.856316435,7,0.948248766,0.84412196
21.42857143,0.909177604,8,0.939729601,1.069690277
24.34693878,0.960343071,9,0.930512554,0.976973326
27.26530612,1.011782266,10,0.920781626,1.022542498
30.18367347,1.065464621,11,0.910732051,0.905193407
33.10204082,1.123359565,12,0.900566234,0.989252457
36.02040816,1.187436251,13,0.890488812,0.687495925
38.93877551,1.254298924,14,0.880701295,0.743849566
41.85714286,1.322169872,15,0.871397041,0.942182335
44.7755102,1.39520954,16,0.86275725,0.902201127
47.69387755,1.47757837,17,0.854947928,0.724459147
50.6122449,1.573436804,18,0.848117316,0.823892289
53.53061224,1.686945285,19,0.842393643,0.781560978
56.44897959,1.816401274,20,0.837883475,0.775242044
59.36734694,1.953430989,21,0.834670892,0.772977412
62.28571429,2.098516177,22,0.83281754,0.8030453
65.20408163,2.252338972,23,0.83236352,0.820781216
68.12244898,2.415581508,24,0.833329008,0.854062973
71.04081633,2.58892592,25,0.835716357,0.840109078
73.95918367,2.767962741,26,0.839512359,0.880817985
76.87755102,2.937954104,27,0.844690447,0.843596412
79.79591837,3.100182169,28,0.851212673,0.841407504
82.71428571,3.25718289,29,0.859031466,0.870485086
85.63265306,3.411492219,30,0.868091248,0.891497145
88.55102041,3.565646111,31,0.878329966,0.897033963
91.46938776,3.720374151,32,0.889680472,0.936681821
94.3877551,3.867101454,33,0.902071636,0.861828745
97.30612245,4.005531239,34,0.915429199,0.812324295
100.2244898,4.137077152,35,0.929676598,0.857487082
103.1428571,4.263152839,36,0.94473627,0.882489396
106.0612245,4.385171946,37,0.960531894,0.837429459
108.9795918,4.504421916,38,0.976991739,1.175742201
111.8979592,4.620536913,39,0.994052875,1.011108961
114.8163265,4.733938276,40,1.011665573,1.070353061
117.7346939,4.845502155,41,1.029797131,1.117848767
120.6530612,4.956104704,42,1.048434756,1.143825461
123.5714286,5.066622075,43,1.067587374,1.134926904
126.4897959,5.177858566,44,1.087286313,1.101437425
129.4081633,5.287445937,45,1.107584901,0.943305747
132.3265306,5.394568161,46,1.128557473,1.040473241
135.244898,5.500185455,47,1.15029865,1.034858384
138.1632653,5.605258034,48,1.172923684,1.306006688
141.0816327,5.710746112,49,1.196569969,1.236802341
144,5.817609904,50,1.221399097,1.365597203
,,51,1.247598474,1.320476157
,,52,1.275381814,1.438052735
,,53,1.304988125,1.376645648
,,54,1.336679048,1.401304484
,,55,1.370734625,1.286246844
,,56,1.407447864,1.546370949
,,57,1.447118554,1.604289743
,,58,1.490046383,1.545995458
,,59,1.536522951,1.520988296
,,60,1.58682246,1.602058465
,,61,1.64119146,1.543776451
,,62,1.699838334,1.555183294
,,63,1.762923209,1.720723865
,,64,1.830548876,1.759722676
,,65,1.902752994,1.851227418
,,66,1.979501498,1.852779891
,,67,2.060683114,1.961060984
,,68,2.146105091,2.010021146
,,69,2.235490434,2.00065164
,,70,2.328477082,1.880109466
,,71,2.424619844,2.040743968
,,72,2.523396274,2.438385551
,,73,2.624217221,2.664393648
,,74,2.726441377,2.829840434
,,75,2.82939201,2.81287099
,,76,2.93237411,3.000674452
,,77,3.034691004,3.283178102
,,78,3.135660056,3.111921814
,,79,3.234627048,3.429730421
,,80,3.330978942,3.317268438
,,81,3.424155102,3.434640693
,,82,3.513657244,3.869714245
,,83,3.599058136,3.854436857
,,84,3.680008369,3.721213592
,,85,3.7562404,3.812118589
,,86,3.827569857,3.868357885
,,87,3.893894905,4.189073873
,,88,3.955194185,3.939830579
,,89,4.011523208,4.0215502
,,90,4.063009125,4.191133638
,,91,4.109844243,4.026972055
,,92,4.152278742,4.322496281
,,93,4.190612771,4.093861459
,,94,4.225188001,4.252366634
,,95,4.256378773,4.286651075
,,96,4.284583093,4.095897653
,,97,4.310213793,4.267026155
,,98,4.333690286,4.31401222
,,99,4.355431296,4.260018106
,,100,4.375848652,4.294330712
,,101,4.395342008,4.494857755
,,102,4.414294355,4.414324877
,,103,4.433067976,4.283789926
,,104,4.452000572,4.432787224
,,105,4.471401728,4.506276035
,,106,4.491550018,4.361882679
,,107,4.512690787,4.396552337
,,108,4.535034608,4.88050655
,,109,4.558756231,4.440577456
,,110,4.583993479,4.462656082
,,111,4.610845684,4.568664964
,,112,4.639372174,4.545657746
,,113,4.669591586,4.626325787
,,114,4.701482314,4.596729028
,,115,4.734984068,4.710356886
,,116,4.77000049,4.680590096
,,117,4.806402796,4.74234055
,,118,4.844034412,4.804317502
,,119,4.882716494,5.184820232
,,120,4.922253871,4.823304284
,,121,4.962440583,5.004633005
,,122,5.00306454,5.000942156
,,123,5.043911415,5.389780848
,,124,5.084767778,5.059909802
,,125,5.125422995,5.056212982
,,126,5.165669651,5.065798392
,,127,5.205303234,5.255053822
,,128,5.244122057,5.138168042
,,129,5.281927767,5.513896974
,,130,5.318526141,5.263912849
,,131,5.353727631,5.32015892
,,132,5.387347387,5.303127296
,,133,5.419205119,5.366028988
,,134,5.449125382,5.415586905
,,135,5.476938621,5.571373807
,,136,5.502482827,5.448104093
,,137,5.525605423,5.497595714
,,138,5.546165158,5.467303817
,,139,5.564034148,5.820437343
,,140,5.579100031,5.526359466
,,141,5.591267812,5.655190217
,,142,5.600460931,5.518965429
,,143,5.606621668,5.634604158
,,144,5.609711336,5.630921329
